PACKET_NUMBER,PACKET_STATUS,DOC_ID,DOC_STATUS,DOC_TYPE,DOC_TYPE_EM,DOC_TYPE_DESCRIPTION,CONTROL_POINT,EVENT_NOTE,EVENT_NOTE_OUTCOME,INVOICING_STATUS,CHARGEABLE,COMPLEXITY,PROCESSING_DATE,MONTH,YEAR,BILLING_CYCLE,BATCH_ID,LAST_UPDTED_DATE,DOC_CLASSIFICATION_CODE,EVENT_NOTES
10313687,PROCESSED,2242170,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 12:05,UNKNOWN,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence
10313714,OFF RAMPED,2242204,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 12:46,VERIFICATION_REQUEST,Unsuccessful Processing in VBMS - Packet Offramped
22026847,OFF RAMPED,2242365,OCRSUCCESS,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 13:23,BVA_APPEALS_REMAND,Add Document - Document Added
22026851,PROCESSED,2242506,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 13:41,BVA_APPEALS_REMAND,Process Packet - Packet Processed
22026966,PROCESSED,2242706,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 14:34,UNKNOWN,Process Packet - Packet Processed
22027067,PROCESSED,2242965,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 15:05,UNKNOWN,Process Packet - Packet Processed
10314538,OFF RAMPED,2243067,OCRSUCCESS,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 15:26,UNKNOWN,Add Document - Document Added
10314311,OFF RAMPED,2243340,VBOTPROCESSING,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 15:37,UNKNOWN,Add Document - Document Added
10314597,OFF RAMPED,2243365,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10314597 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10314597 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10314597 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 15:43,BVA_APPEALS_REMAND,Unsuccessful Processing in VBMS - Packet Offramped
22027090,OFF RAMPED,2243569,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 22027090 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 22027090 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 22027090 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 16:01,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10314557,PROCESSED,2243467,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 16:02,MEDICAL_EVIDENCE,Process Packet - Packet Processed
22026973,PROCESSED,2243935,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 16:55,UNKNOWN,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence
10314799,PROCESSED,2244076,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 16:32,UNKNOWN,Process Packet - Packet Processed
22027577,PROCESSED,2244242,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 16:36,UNKNOWN,Process Packet - Packet Processed
22027549,REVIEWED,2244271,HIL_VBMS,EVD-TPC,EVD-TPC,Third Party Correspondence,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 16:39,BVA_APPEALS_REMAND,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile
22027661,PROCESSED,2244446,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 17:03,MEDICAL_EVIDENCE,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence
22027482,OFF RAMPED,2244510,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 22027482 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 22027482 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 22027482 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 17:34,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
22027474,PROCESSED,2244905,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 17:32,MEDICAL_EVIDENCE,Process Packet - Packet Processed
22027772,OFF RAMPED,2244973,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,Outcome : Packet Routed to RMC Queue,Outcome : Packet Routed to RMC Queue,Outcome : Packet Routed to RMC Queue,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 17:39,FOIA_PRIVACYACT,Unsuccessful Processing in VBMS - Packet Offramped
10314830,PROCESSED,2245173,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 18:00,UNKNOWN,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence
10315151,PROCESSED,2245348,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 18:03,STATUS_REQUEST,Process Packet - Packet Processed
22027836,PROCESSED,2245437,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 17:54,UNKNOWN,Process Packet - Packet Processed
10313870,PROCESSED,2242392,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 13:35,UNKNOWN,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence
22026840,PROCESSED,2242462,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 13:38,UNKNOWN,Process Packet - Packet Processed
10314060,OFF RAMPED,2242526,OCRSUCCESS,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 13:56,UNKNOWN,Add Document - Document Added
22026923,OFF RAMPED,2242575,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 22026923 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 22026923 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 22026923 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 14:09,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10314103,PROCESSED,2242726,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 14:40,UNKNOWN,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence
10314473,PROCESSED,2243077,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,10/13/2020,10,2020,OP2,208,10/13/20 15:33,MEDICAL_EVIDENCE,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence
