PACKET_NUMBER,PACKET_STATUS,DOC_ID,DOC_STATUS,DOC_TYPE,DOC_TYPE_EM,DOC_TYPE_DESCRIPTION,CONTROL_POINT,EVENT_NOTE,EVENT_NOTE_OUTCOME,INVOICING_STATUS,CHARGEABLE,COMPLEXITY,PROCESSING_DATE,MONTH,YEAR,BILLING_CYCLE,BATCH_ID,LAST_UPDTED_DATE,DOC_CLASSIFICATION_CODE,
10143518,PROCESSED,1949033,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/17/2020,9,2020,OP2,190,9/17/20 22:51,FOIA_PRIVACYACT,Process Packet - Packet Processed
478336,OFF RAMPED,1949062,OFFRAMPED,RM,RM,Returned Mail,Final Exception Reason: Business Exception There are no claims open or pending for the profile (Attempt# 4) (Attempt #4),Final Exception Reason: Business Exception There are no claims open or pending for the profile (Attempt# 4) (Attempt #4),Final Exception Reason: Business Exception There are no claims open or pending for the profile (Attempt# 4) (Attempt #4),PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Medium,9/17/2020,9,2020,OP2,190,9/17/20 23:07,ESS,Unsuccessful Processing in VBMS - Packet Offramped
478445,REVIEWED,1949069,HIL_VBMS,RM,RM,Returned Mail,Final Exception Reason: Business Exception Veteran name verification failed (Attempt# 0) (Attempt #0),Final Exception Reason: Business Exception Veteran name verification failed (Attempt# 0) (Attempt #0),Final Exception Reason: Business Exception Veteran name verification failed (Attempt# 0) (Attempt #0),PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Medium,9/17/2020,9,2020,OP2,190,9/17/20 23:00,NON_ESS,Perform Record Matching - Name Not Matched via Name Compare Algorithm
478430,OFF RAMPED,1949119,OFFRAMPED,RM,RM,Returned Mail,Final Exception Reason: Business Exception There are no claims open or pending for the profile (Attempt# 0) (Attempt #0),Final Exception Reason: Business Exception There are no claims open or pending for the profile (Attempt# 0) (Attempt #0),Final Exception Reason: Business Exception There are no claims open or pending for the profile (Attempt# 0) (Attempt #0),PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Medium,9/17/2020,9,2020,OP2,190,9/17/20 23:18,ESS,Unsuccessful Processing in VBMS - Packet Offramped
10143520,OFF RAMPED,1949169,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10143520 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10143520 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10143520 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/17/2020,9,2020,OP2,190,9/17/20 22:53,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10143245,OFF RAMPED,1949176,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10143245 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10143245 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10143245 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/17/2020,9,2020,OP2,190,9/17/20 22:55,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10143799,OFF RAMPED,1949276,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 10143799 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10143799 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10143799 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/17/2020,9,2020,OP2,190,9/17/20 22:57,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10143792,PROCESSED,1949376,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/17/2020,9,2020,OP2,190,9/17/20 23:13,UNKNOWN,Process Packet - Packet Processed
10143761,OFF RAMPED,1949505,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10143761 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10143761 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10143761 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/17/2020,9,2020,OP2,190,9/17/20 23:38,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10143979,OFF RAMPED,1949526,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,Low,9/17/2020,9,2020,OP2,190,9/18/20 0:00,VERIFICATION_REQUEST,Unsuccessful Processing in VBMS - Packet Offramped
10143908,OFF RAMPED,1949555,PENDING UPLOAD,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,Low,9/17/2020,9,2020,OP2,190,9/17/20 23:58,MEDICAL_EVIDENCE,Add Document - Document Added
10143908,OFF RAMPED,1949562,VBOTPROCESSING,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,Low,9/17/2020,9,2020,OP2,190,9/17/20 23:47,UNKNOWN,Add Document - Document Added
10144303,OFF RAMPED,1949919,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 10144303 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10144303 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10144303 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/17/2020,9,2020,OP2,190,9/18/20 1:23,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10144593,PROCESSED,1950019,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/17/2020,9,2020,OP2,190,9/18/20 1:44,UNKNOWN,Process Packet - Packet Processed
10134636,OFF RAMPED,1940945,VBOTPROCESSING,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10134636 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10134636 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10134636 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/17/2020,9,2020,OP2,190,9/17/20 1:13,BVA_APPEALS_REMAND,"Off Ramping CM Packet Num: 10134636 because of a classification of BVA Appeals Remand, and no active claims on profile."
10136144,PROCESSED,1942167,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/17/2020,9,2020,OP2,190,9/17/20 10:31,VERIFICATION_REQUEST,Process Packet - Packet Processed
10136060,PROCESSED,1942231,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/17/2020,9,2020,OP2,190,9/17/20 11:09,UNKNOWN,Process Packet - Packet Processed
10135822,OFF RAMPED,1942310,OCRSUCCESS,EVD-COR,EVD-COR,Correspondence,HIL Packet Reassigned to Assignment Queue MA-1,HIL Packet Reassigned to Assignment Queue MA-1,HIL Packet Reassigned to Assignment Queue MA-1,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/17/2020,9,2020,OP2,190,9/17/20 6:05,UNKNOWN,HIL Packet Reassigned to Assignment Queue MA-1
10135580,PROCESSED,1942424,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/17/2020,9,2020,OP2,190,9/17/20 10:30,UNKNOWN,Process Packet - Packet Processed
