PACKET_NUMBER,PACKET_STATUS,DOC_ID,DOC_STATUS,DOC_TYPE,DOC_TYPE_EM,DOC_TYPE_DESCRIPTION,CONTROL_POINT,EVENT_NOTE,EVENT_NOTE_OUTCOME,INVOICING_STATUS,CHARGEABLE,COMPLEXITY,PROCESSING_DATE,MONTH,YEAR,BILLING_CYCLE,BATCH_ID,LAST_UPDTED_DATE,DOC_CLASSIFICATION_CODE,EVENT_NOTES
21924564,Processing,2029123,OCRSUCCESS,EVD-COR,EVD-COR,Correspondence,HIL Packet Reassigned to Assignment Queue MA-1,HIL Packet Reassigned to Assignment Queue MA-1,HIL Packet Reassigned to Assignment Queue MA-1,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,9/25/2020,9,2020,OP2,193,9/24/20 22:05,UNKNOWN,HIL Packet Reassigned to Assignment Queue MA-1
10192184,OFF RAMPED,2033992,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,Outcome : Packet Routed to RMC Queue,Outcome : Packet Routed to RMC Queue,Outcome : Packet Routed to RMC Queue,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,9/25/2020,9,2020,OP2,193,9/25/20 10:18,FOIA_PRIVACYACT,Unsuccessful Processing in VBMS - Packet Offramped
10192148,OFF RAMPED,2034003,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 10192148 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10192148 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10192148 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,9/25/2020,9,2020,OP2,193,9/25/20 10:18,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10192463,PROCESSED,2034310,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,9/25/2020,9,2020,OP2,194,9/25/20 10:35,UNKNOWN,Process Packet - Packet Processed
10192487,PROCESSED,2034353,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,9/25/2020,9,2020,OP2,194,9/25/20 10:36,UNKNOWN,Process Packet - Packet Processed
10192852,OFF RAMPED,2034446,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 10192852 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10192852 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10192852 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,9/25/2020,9,2020,OP2,194,9/25/20 11:33,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10192604,PROCESSED,2034553,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,9/25/2020,9,2020,OP2,194,9/25/20 10:37,UNKNOWN,Add Unsolicited Evidence - Successfully Added Unsolicited Evidence
10193138,OFF RAMPED,2034621,OCRSUCCESS,EVD-COR,EVD-COR,Correspondence,HIL Packet Reassigned to Assignment Queue MA-1,HIL Packet Reassigned to Assignment Queue MA-1,HIL Packet Reassigned to Assignment Queue MA-1,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,9/25/2020,9,2020,OP2,194,9/25/20 8:29,UNKNOWN,HIL Packet Reassigned to Assignment Queue MA-1
10192738,PROCESSED,2034646,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,9/25/2020,9,2020,OP2,194,9/25/20 10:40,BVA_APPEALS_REMAND,Process Packet - Packet Processed
10193015,OFF RAMPED,2034910,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10193015 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10193015 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10193015 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,High,9/25/2020,9,2020,OP2,194,9/25/20 10:48,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
