CM_PACKET_NUM,PACKET_STATUS,DOC_ID,DOC_STATUS,DOC_TYPE_CODE,DOC_TYPE_EM,DOC_TYPE_DESCRIPTION,EVENT_NOTES,LAST_UPDTED_DATE,BATCH_ID,DOC_CLASSIFICATION_CODE,,,,,,,
535580,Processing,2411686,VBOTPROCESSING,674b,674b,VA 21-674b School Attendance Report,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile,10/26/2020 5:00:04 PM,213,NULL,,,,,,,
535877,Processing,2411231,VBOTPROCESSING,EVD-FAXCS,Evidence Mail,Fax Cover Sheet,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile,10/26/2020 4:59:30 PM,213,NULL,,,,,,,
538617,REVIEWED,2443858,OCRSUCCESS,OMPF,Evidence Mail,"Certificate of Release or Discharge From Active Duty (e.g. DD 214, NOAA 56-16, PHS 1867)",NULL,10/26/2020 7:31:15 PM,215,NULL,,,,,,,
538617,REVIEWED,2443861,OCRSUCCESS,OMPF,Evidence Mail,"Certificate of Release or Discharge From Active Duty (e.g. DD 214, NOAA 56-16, PHS 1867)",NULL,10/26/2020 7:31:15 PM,215,NULL,,,,,,,
538617,REVIEWED,2443864,OCRSUCCESS,EVD-DC,Evidence Mail,Death Certificate,NULL,10/26/2020 7:31:15 PM,215,NATURAL,,,,,,,
538617,REVIEWED,2443866,OCRSUCCESS,EVD-FBE,Evidence Mail,Funeral Bill/Expenses,NULL,10/26/2020 7:31:15 PM,215,NULL,,,,,,,
538617,REVIEWED,2443867,HIL_VBMS,530,530,VA 21-530 Application for Burial Benefits,Outcome : Veteran/Claimant Issue - Failed to find Veteran Profile,10/26/2020 7:31:15 PM,215,NULL,,,,,,,
538622,OFF RAMPED,2443837,OFFRAMPED,OMPF,Evidence Mail,"Certificate of Release or Discharge From Active Duty (e.g. DD 214, NOAA 56-16, PHS 1867)",Outcome : Veteran/Claimant Issue - No Open Claim/EP and all documents are not RFA Eligible Documents Type,10/26/2020 11:32:59 PM,215,NULL,,,,,,,
538622,OFF RAMPED,2443841,VBOTPROCESSING,EVD-DC,Evidence Mail,Death Certificate,NULL,10/26/2020 11:32:59 PM,215,NATURAL,,,,,,,
538622,OFF RAMPED,2443843,OCRSUCCESS,EVD-FBE,Evidence Mail,Funeral Bill/Expenses,NULL,10/26/2020 11:32:59 PM,215,NULL,,,,,,,
