PACKET_NUMBER,PACKET_STATUS,DOC_ID,DOC_STATUS,DOC_TYPE,DOC_TYPE_EM,DOC_TYPE_DESCRIPTION,CONTROL_POINT,EVENT_NOTE,EVENT_NOTE_OUTCOME,INVOICING_STATUS,CHARGEABLE,COMPLEXITY,PROCESSING_DATE,MONTH,YEAR,BILLING_CYCLE,BATCH_ID,LAST_UPDTED_DATE,DOC_CLASSIFICATION_CODE,EVENT_NOTES
22327291,OFF RAMPED,2911828,OCRSUCCESS,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,11/28/2020,11,2020,OP2,230,11/28/20 22:50,UNKNOWN,Add Document - Document Added
22327433,PROCESSED,2911977,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,11/28/2020,11,2020,OP2,230,11/28/20 23:06,BVA_APPEALS_REMAND,Process Packet - Packet Processed
22327465,OFF RAMPED,2912128,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,11/28/2020,11,2020,OP2,230,11/28/20 23:32,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
22327463,OFF RAMPED,2912213,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,11/28/2020,11,2020,OP2,230,11/28/20 23:48,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
22328261,OFF RAMPED,2912628,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,11/28/2020,11,2020,OP2,230,11/29/20 1:07,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
22327857,PROCESSED,2912664,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,11/28/2020,11,2020,OP2,230,11/29/20 0:50,FOIA_PRIVACYACT,Process Packet - Packet Processed
22327988,PROCESSED,2912713,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,11/28/2020,11,2020,OP2,230,11/29/20 1:01,FOIA_PRIVACYACT,Process Packet - Packet Processed
22328055,OFF RAMPED,2912862,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,SYSTEM OFFRAMP,NOT CHARGEABLE,High,11/28/2020,11,2020,OP2,230,11/29/20 1:30,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
22328173,PROCESSED,2912913,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,11/28/2020,11,2020,OP2,230,11/28/20 23:36,UNKNOWN,Add Document - Document Added
22328201,PROCESSED,2912964,PROCESSED,EVD-TPC,EVD-TPC,Third Party Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,High,11/28/2020,11,2020,OP2,230,11/29/20 1:39,STATUS_REQUEST,Process Packet - Packet Processed
