PACKET_NUMBER,PACKET_STATUS,DOC_ID,DOC_STATUS,DOC_TYPE,DOC_TYPE_EM,DOC_TYPE_DESCRIPTION,CONTROL_POINT,EVENT_NOTE,EVENT_NOTE_OUTCOME,INVOICING_STATUS,CHARGEABLE,COMPLEXITY,PROCESSING_DATE,MONTH,YEAR,BILLING_CYCLE,BATCH_ID,LAST_UPDTED_DATE,DOC_CLASSIFICATION_CODE,
21813329,OFF RAMPED,1853771,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,HIL Packet Reassigned to Assignment Queue MA-1,HIL Packet Reassigned to Assignment Queue MA-1,HIL Packet Reassigned to Assignment Queue MA-1,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/9/2020,9,2020,OP2,187,9/9/20 20:40,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
21822346,OFF RAMPED,1861391,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 21822346 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 21822346 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 21822346 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/9/2020,9,2020,OP2,187,9/9/20 11:07,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10068026,OFF RAMPED,1861660,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10068026 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10068026 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10068026 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/9/2020,9,2020,OP2,187,9/9/20 20:04,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10067581,OFF RAMPED,1861727,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 10067581 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10067581 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10067581 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/9/2020,9,2020,OP2,187,9/9/20 12:06,BVA_APPEALS_REMAND,Unsuccessful Processing in VBMS - Packet Offramped
369038,OFF RAMPED,1862609,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 369038 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 369038 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 369038 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/9/2020,9,2020,OP2,187,9/9/20 12:59,BVA_APPEALS_REMAND,Unsuccessful Processing in VBMS - Packet Offramped
369823,OFF RAMPED,1862996,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 369823 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 369823 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 369823 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/9/2020,9,2020,OP2,187,9/9/20 13:21,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10069792,OFF RAMPED,1863464,OFFRAMPED,EVD-TPC,EVD-TPC,Third Party Correspondence,"Off Ramping CM Packet Num: 10069792 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10069792 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10069792 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/9/2020,9,2020,OP2,187,9/9/20 13:45,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10070131,OFF RAMPED,1863664,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,HIL Packet Reassigned to Assignment Queue MA-1,HIL Packet Reassigned to Assignment Queue MA-1,HIL Packet Reassigned to Assignment Queue MA-1,PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/9/2020,9,2020,OP2,187,9/9/20 23:16,MEDICAL_EVIDENCE,Unsuccessful Processing in VBMS - Packet Offramped
10070574,OFF RAMPED,1863949,OFFRAMPED,EVD-COR,EVD-COR,Correspondence,"Off Ramping CM Packet Num: 10070574 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10070574 because of a classification of BVA Appeals Remand, and no active claims on profile.","Off Ramping CM Packet Num: 10070574 because of a classification of BVA Appeals Remand, and no active claims on profile.",PROCESSED AS PER BUSINESS RULES,CHARGEABLE,Low,9/9/2020,9,2020,OP2,187,9/9/20 14:05,UNKNOWN,Unsuccessful Processing in VBMS - Packet Offramped
10071278,PROCESSED,1864182,PROCESSED,EVD-COR,EVD-COR,Correspondence,Add Document,Document Added,Add Document - Document Added,PROCESSED,CHARGEABLE,Low,9/9/2020,9,2020,OP2,187,9/9/20 14:14,UNKNOWN,Process Packet - Packet Processed
